lat,lon,country,site_name,site_type,feature_type,n_dates
51.78,11.14,DE,Quedlinburg VIII,,,5
51.7833,4.2309,DE,"Quedlinburg, Hammwarte",single grave,single grave,4
51.7,11.4667,DE,Quenstedt,enclosure,enclosure,36
54.4654,13.4642,DE,Ralswiek-Augustenhof,settlement,settlement,10
50.6626,11.5649,DE,"Ranis, Ilsenhohle",hk-nr.68:8,hk-nr.68:8,3
54.2844,10.2917,DE,Rastorf,dolmen,dolmen,16
54.2815,10.2918,DE,Rastorf LA 6,single grave,single grave,11
54.275,10.2883,DE,Rastorf LA 73,enclosure,enclosure,4
51.8167,11.6333,DE,Rathmannsdorf,cist,cist,7
51.7667,4.137,DE,Rees,,,4
52.95,12.3,DE,Rehfeld,single grave,single grave,4
51.0667,12.2167,DE,Rehmsdorf,settlement,settlement,4
52.1139,10.6743,DE,Remlingen,dead house,dead house,6
48.8655,9.2488,DE,Remseck-Aldingen,,,3
47.8999,9.699,DE,"Reute, Schorrenried",settlement,settlement,12
48.0357,9.6761,DE,Riedschachen,,,32
48.0333,9.6667,DE,Riedschachen 13,settlement,settlement,31
48.9167,13.119,DE,"Riekofen, Kellnerfeld",enclosure,enclosure,16
51.5333,9.05,DE,"Rimbeck,  Weißes Holz",enclosure,enclosure,12
52.9903,10.5745,DE,Ripdorf,single grave,single grave,13
50.9667,2.0241,DE,Rodingen,settlement,settlement,3
51.5,4.1526,DE,Rosdorf,settlement,settlement,8
54.2552,11.0728,DE,"Rosenfelde, Grube LA 83",settlement,settlement,8
54.25,11.0333,DE,Rosenhof,settlement,settlement,738
54.2518,11.0495,DE,Rosenhof LA 58,settlement,settlement,63
51.0333,12.3667,DE,Rositz,settlement,settlement,5
52.2,9.8,DE,Rössing,enclosure,enclosure,3
51.45,11.54,DE,Rothenschirmbach,,,5
48.4797,8.9259,DE,Rottenburg,,,12
48.4763,8.9353,DE,Rottenburg a.N.,settlement,settlement,6
48.4858,8.9445,DE,"Rottenburg a.N., Lindele",collective grave,collective grave,4
54.6876,9.6373,DE,Rüde LA 2,settlement,settlement,12
51.5947,13.9264,DE,Saalhausen,single grave,single grave,25
51.8,9.9167,DE,"Salzderhelden, Heldenberg",enclosure,enclosure,16
51.6617,8.6425,DE,Salzkotten-Oberntudorf,enclosure,enclosure,4
54.6889,9.6285,DE,Satrup (PÃ¶ttmoor) LA 70,settlement,settlement,4
54.6907,9.6221,DE,Satrup LA71,settlement,settlement,16
52.0936,7.2043,DE,SchÃ¶ppingen-Ramsberg 50,single grave,single grave,8
51.25,9.25,DE,Schalkholz,,,3
48.9245,11.8129,DE,Schellnecker Wand,,,3
49.8333,10.1333,DE,Schernau,settlement,settlement,36
53.8354,10.3408,DE,Schlamersdorf,settlement,settlement,71
53.85,10.3,DE,Schlammersdorf LA5,camp,camp,6
52.9011,12.3249,DE,Schönermark,,,1
51.1167,10.5667,DE,Schönstedt,non-megalithic chambered grave,non-megalithic chambered grave,10
51.65,12.0167,DE,Schortewitz,single grave,single grave,4
47.8833,9.5667,DE,Schreckensee,,,4
