Longitude,Latitude,Database
-66.4043,-9.68562,Amazon Arch
-66.3699,-9.66405,Amazon Arch
-68.7846,-10.9434,Amazon Arch
-69.6016,-10.8686,Amazon Arch
-69.122,-10.7564,Amazon Arch
-67.9179,-9.71893,Amazon Arch
-67.9999,-9.37131,Amazon Arch
-67.3828,-9.60249,Amazon Arch
-67.2696,-9.69258,Amazon Arch
-67.0479,-10.1486,Amazon Arch
-66.9915,-10.1498,Amazon Arch
-67.3512,-10.1683,Amazon Arch
-66.9997,-9.91743,Amazon Arch
-67.3091,-10.0578,Amazon Arch
-66.3462,-9.8111,Amazon Arch
-69.5328,-10.9121,Amazon Arch
-66.95566026,-8.7956629,Amazon Arch
-67.18776001,-9.563925961,Amazon Arch
-67.39112485,-8.903048573,Amazon Arch
-66.93421365,-8.831722084999999,Amazon Arch
-67.01321381,-9.698583486,Amazon Arch
-67.07642648,-8.829205912,Amazon Arch
-66.92334016,-10.11667371,Amazon Arch
-66.94278629,-10.10556038,Amazon Arch
-66.95778097,-10.10583447,Amazon Arch
-67.05353489,-9.796778751,Amazon Arch
-67.06992193,-9.741403952,Amazon Arch
-67.10361851,-10.04361727,Amazon Arch
-68.95834343,-10.78434648,Amazon Arch
-68.98827969,-10.85354556,Amazon Arch
-67.66261632,-10.52784558,Amazon Arch
-67.804953,-10.614689,Amazon Arch
-67.88450343,-10.61694265,Amazon Arch
-67.90916819,-10.30472786,Amazon Arch
-67.91217674,-10.602716,Amazon Arch
-67.13473026,-10.01972932,Amazon Arch
-67.15271225,-10.19762097,Amazon Arch
-67.27122806,-10.08732352,Amazon Arch
-67.38023062,-10.23626769,Amazon Arch
-67.42000831,-10.18472942,Amazon Arch
-67.55695138,-10.29833893,Amazon Arch
-67.59787778,-10.40626132,Amazon Arch
-67.52834145,-9.811674919,Amazon Arch
-67.70555902,-9.741667641,Amazon Arch
-67.7138828,-9.568325467,Amazon Arch
-67.53471834,-10.03221435,Amazon Arch
-67.53861464,-9.950285742,Amazon Arch
-67.85667297,-10.16916757,Amazon Arch
-67.94361372,-9.918893411,Amazon Arch
-67.98833998,-10.16917572,Amazon Arch
-68.72333167,-9.105150753,Amazon Arch
-67.22893652,-9.726653238,Amazon Arch
-67.34983429,-9.90267418,Amazon Arch
-67.39842675,-9.943721671,Amazon Arch
-67.60250832,-10.15500759,Amazon Arch
-67.6661139,-10.17167498,Amazon Arch
-68.23111913,-10.76389733,Amazon Arch
-68.41055996,-10.70944908,Amazon Arch
-67.1796522,-9.084922972,Amazon Arch
-66.41945009,-9.786667232,Amazon Arch
-66.64305975,-9.793055574,Amazon Arch
-69.92583333,-9.358888889,Amazon Arch
-57.94519114,-9.407103219,Amazon Arch
-57.8872,-9.8711,Amazon Arch
-57.8772,-9.7048,Amazon Arch
-57.8212,-9.8132,Amazon Arch
-57.7557,-9.8221,Amazon Arch
-58.2325,-9.415,Amazon Arch
-59.3228,-9.3501,Amazon Arch
-59.234,-9.4506,Amazon Arch
-58.6019,-9.9833,Amazon Arch
-58.45850005,-10.09839996,Amazon Arch
-58.64368966,-10.31103932,Amazon Arch
-57.3703,-9.4245,Amazon Arch
-58.4414,-10.7534,Amazon Arch
-59.6343,-10.0918,Amazon Arch
-58.50720003,-10.36039999,Amazon Arch
-57.9857,-9.761100002,Amazon Arch
-57.8512,-9.4176,Amazon Arch
-57.8374,-9.593599998,Amazon Arch
-57.7716,-9.872099998,Amazon Arch
-59.0036,-9.4852,Amazon Arch
-55.2413,-9.9197,Amazon Arch
-55.507,-9.673,Amazon Arch
-58.5124,-9.9246,Amazon Arch
-59.1692,-9.430200001,Amazon Arch
-59.2405,-9.365,Amazon Arch
-59.3187,-9.2897,Amazon Arch
-59.3287,-9.495699993,Amazon Arch
-60.07859992,-9.967099999,Amazon Arch
-57.91850043,-9.754200013,Amazon Arch
-58.5755,-10.0513,Amazon Arch
-58.5713,-10.1108,Amazon Arch
-58.5775,-10.0298,Amazon Arch
-58.54239998,-10.26909998,Amazon Arch
-59.00659938,-9.457501377,Amazon Arch
-58.14950001,-9.747100002,Amazon Arch
-58.1425,-10.1667,Amazon Arch
-57.78430002,-9.596100031,Amazon Arch
-57.67449998,-9.863499986,Amazon Arch
-58.33889996,-9.333500018,Amazon Arch
-58.28230001,-9.436999969,Amazon Arch
-58.17229998,-9.487100006,Amazon Arch
